id_biblioteca,nombre_biblioteca,id_depto,año_fundacion,dominio_email
3922,Bib. Pop. Juan XXIII,6351,2000.0,hotmail
2697,Bib.Pop. Juventud Moderna,6357,1911.0,
3476,Bib.Pop.y C.Cult. Mar del Plata,6357,1994.0,
3836,Bib.Pop. Juan Domingo Perón,6357,1980.0,
4076,Bib.Pop. Barrio Santa Rita,6357,1980.0,
4122,Bib.Pop. y Cen.Cul. Centenario,6357,1996.0,
4349,Bib.Pop. El Desafío para Crecer,6357,2014.0,
2063,Bib.Pop. Leandro N. Alem,6364,1936.0,
2501,Bib. Pop. Mariano Moreno,6385,1939.0,yahoo
4280,Bib.Pop. Minchekewun,6385,2011.0,
3724,Bib.Esc.Pop. José Manuel Estrada,6392,1961.0,yahoo
3196,Bib.Pop.Pub.Mun. Dolores A. Cirio de Busso,6392,1991.0,cseca
3194,Bib.Pop.Pub.Mun. D.F.Sarmiento,6392,1935.0,servicoopsa
3197,Bib.Pop.Pub.Mun. Benito Lynch,6392,1979.0,servicoopsa
3339,Bib.Púb. Municipal Fortín de Gainza,6392,1991.0,hotmail
3925,Bib.Pop. Angela A.B. de Abraham,6399,2000.0,
3715,Bib. Pop. José Hernández,6399,1980.0,yahoo
4069,Bib.Pop. Dardo Nepomuceno Arditi Rocha,6399,2000.0,hotmail
4177,Bib.Pop. Dra. Alicia Teresa Morales,6399,1980.0,yahoo
2998,Bib.Pub. Mariano Moreno,6399,1956.0,
1248,Bib.Pop. Almafuerte,6406,1922.0,yahoo
2923,Bib.Pop.Soc.Fom. Julián Aguirre,6408,1975.0,
3621,Bib.Pop. Alfredo L. Palacios,6408,1980.0,yahoo
4002,Soc.y Bib.Pop. La tradición,6410,2000.0,yahoo
139,Bib.Pop. Olegario V. Andrade,6413,1909.0,
1054,Bib.Pop. Paz y trabajo,6413,1923.0,
1412,Bib.Pop. Pedro Aguilera,6413,1928.0,
1454,Bib.Pop. Esteban Echeverría,6413,1930.0,
1809,Bib.Pop. 9 de Julio,6413,1933.0,gmail
1874,Bib.Pop. Manuel Belgrano,6413,1929.0,hotmail
4389,Bib. Pop. Pio Soberano,6413,2022.0,gmail
3928,Bib.Pop. Juan Bautista Alberdi,6413,1940.0,
3696,Bib.Pop. Las Toninas,6420,1985.0,yahoo
3574,Bib.Pop. Vito Dumas,6420,1992.0,yahoo
4368,Bib. Pop.Dr. José María Sobral,6420,2005.0,yahoo
3910,Bib.Pop. Juan XXIII,6420,1980.0,
4125,Soc.Fo.y Bib.Pop. El Tala,6420,1980.0,educar
3128,Bib.Pub. Alfonsina Storni,6420,1980.0,hotmail
2880,Bib.Pop. Alfonsina Storni,6427,1963.0,
4299,Bib.Pop. y Ctro Cult. José M. Estrada,6427,1976.0,hotmail
3241,Bib.Pop. Ceferino Namuncura,6427,1980.0,
3293,Bib.Pop. Delia C. de Armagno,6427,1980.0,gmail
4182,Bib.Pop. Rotaria,6427,1980.0,yahoo
4010,Bib.Pop. Amigos de La Tablada,6427,1998.0,yahoo
4228,Bib.Pop. Almafuerte de Rafael Castillo,6427,1980.0,hotmail
3921,Bib.Pop. Tinkunaku-Lugar de encuentro,6427,2000.0,yahoo
3203,Bib.Pop. Almafuerte,6427,1993.0,yahoo
3762,Bib. Pop. Villa Sahores,6427,1999.0,yahoo
4338,Bib.Pop. de la Imagen (CEIC),6427,2003.0,gmail
1880,"Centro Cultural y Recreativo, Bib.Pop. Mariano Moreno",6427,1930.0,yahoo
