id_establecimiento,id_nivel
20304600,jardin_maternal
20305700,jardin_maternal
20306700,jardin_maternal
20307100,jardin_maternal
20307300,jardin_maternal
20307400,jardin_maternal
20309100,jardin_maternal
20309500,jardin_maternal
20310800,jardin_maternal
20311400,jardin_maternal
20311500,jardin_maternal
20311600,jardin_maternal
20312300,jardin_maternal
20312400,jardin_maternal
20313100,jardin_maternal
20315900,jardin_maternal
20316100,jardin_maternal
20316200,jardin_maternal
20316300,jardin_maternal
20316800,jardin_maternal
20318000,jardin_maternal
20320000,jardin_maternal
20320700,jardin_maternal
20321700,jardin_maternal
60000100,jardin_maternal
60001400,jardin_maternal
60001800,jardin_maternal
60002400,jardin_maternal
60002500,jardin_maternal
60003500,jardin_maternal
60003900,jardin_maternal
60004000,jardin_maternal
60004600,jardin_maternal
60005300,jardin_maternal
60006100,jardin_maternal
60007200,jardin_maternal
60007500,jardin_maternal
60007800,jardin_maternal
60007900,jardin_maternal
60008200,jardin_maternal
60008700,jardin_maternal
60009000,jardin_maternal
60009900,jardin_maternal
60010900,jardin_maternal
60011600,jardin_maternal
60012000,jardin_maternal
60012600,jardin_maternal
60012800,jardin_maternal
60013900,jardin_maternal
60014200,jardin_maternal
60014400,jardin_maternal
60014500,jardin_maternal
60014900,jardin_maternal
60015400,jardin_maternal
60015500,jardin_maternal
60015800,jardin_maternal
60016300,jardin_maternal
60018000,jardin_maternal
60018100,jardin_maternal
60018300,jardin_maternal
60018700,jardin_maternal
60020400,jardin_maternal
60021400,jardin_maternal
60022000,jardin_maternal
60022100,jardin_maternal
60022200,jardin_maternal
60023300,jardin_maternal
60023400,jardin_maternal
60023600,jardin_maternal
60023800,jardin_maternal
60024400,jardin_maternal
60024900,jardin_maternal
60025000,jardin_maternal
60025200,jardin_maternal
60026100,jardin_maternal
60027500,jardin_maternal
60027600,jardin_maternal
60027700,jardin_maternal
60028000,jardin_maternal
60029700,jardin_maternal
60030000,jardin_maternal
60030500,jardin_maternal
60030700,jardin_maternal
60032000,jardin_maternal
60033500,jardin_maternal
60034200,jardin_maternal
60035300,jardin_maternal
60035900,jardin_maternal
60036000,jardin_maternal
60036100,jardin_maternal
60037300,jardin_maternal
60037900,jardin_maternal
60039200,jardin_maternal
60039300,jardin_maternal
60039400,jardin_maternal
60039500,jardin_maternal
60039600,jardin_maternal
60039700,jardin_maternal
60042200,jardin_maternal
60042600,jardin_maternal
60044300,jardin_maternal
60045600,jardin_maternal
60045800,jardin_maternal
60046000,jardin_maternal
60046100,jardin_maternal
60046300,jardin_maternal
60046500,jardin_maternal
60047000,jardin_maternal
60047500,jardin_maternal
60048000,jardin_maternal
60048200,jardin_maternal
60050200,jardin_maternal
60051500,jardin_maternal
60052400,jardin_maternal
60052600,jardin_maternal
60053100,jardin_maternal
60053200,jardin_maternal
60053400,jardin_maternal
60053500,jardin_maternal
60053600,jardin_maternal
60053800,jardin_maternal
60054100,jardin_maternal
60054200,jardin_maternal
60055600,jardin_maternal
60058000,jardin_maternal
60061200,jardin_maternal
60061900,jardin_maternal
60064000,jardin_maternal
60065500,jardin_maternal
60065600,jardin_maternal
60065700,jardin_maternal
60065800,jardin_maternal
60066100,jardin_maternal
60067500,jardin_maternal
60068800,jardin_maternal
60069200,jardin_maternal
60069600,jardin_maternal
60069800,jardin_maternal
60070500,jardin_maternal
60072300,jardin_maternal
60072600,jardin_maternal
60073000,jardin_maternal
60073800,jardin_maternal
60073900,jardin_maternal
60074700,jardin_maternal
60074900,jardin_maternal
60075300,jardin_maternal
60076900,jardin_maternal
60078200,jardin_maternal
60078300,jardin_maternal
60078400,jardin_maternal
60078700,jardin_maternal
60078800,jardin_maternal
60079900,jardin_maternal
60080600,jardin_maternal
60080700,jardin_maternal
60081200,jardin_maternal
60082400,jardin_maternal
60082800,jardin_maternal
60083300,jardin_maternal
60083600,jardin_maternal
60084000,jardin_maternal
60084100,jardin_maternal
60084600,jardin_maternal
60084700,jardin_maternal
60084800,jardin_maternal
60085100,jardin_maternal
60086000,jardin_maternal
60086100,jardin_maternal
60088200,jardin_maternal
60089600,jardin_maternal
60090300,jardin_maternal
60090800,jardin_maternal
60090900,jardin_maternal
60092800,jardin_maternal
60092900,jardin_maternal
60093000,jardin_maternal
60096100,jardin_maternal
60096200,jardin_maternal
60096300,jardin_maternal
60096400,jardin_maternal
60098500,jardin_maternal
60098700,jardin_maternal
60099000,jardin_maternal
60099700,jardin_maternal
60101100,jardin_maternal
60103900,jardin_maternal
60104400,jardin_maternal
60104600,jardin_maternal
60105200,jardin_maternal
60106200,jardin_maternal
60107200,jardin_maternal
60107500,jardin_maternal
60108300,jardin_maternal
60109000,jardin_maternal
60110800,jardin_maternal
60111100,jardin_maternal
60111900,jardin_maternal
60112500,jardin_maternal
60112700,jardin_maternal
60112800,jardin_maternal
60113500,jardin_maternal
60114200,jardin_maternal
60115500,jardin_maternal
60116700,jardin_maternal
60116800,jardin_maternal
60117000,jardin_maternal
60117100,jardin_maternal
60117900,jardin_maternal
60118000,jardin_maternal
60118100,jardin_maternal
60120000,jardin_maternal
60120100,jardin_maternal
60121300,jardin_maternal
60121700,jardin_maternal
60123300,jardin_maternal
60123500,jardin_maternal
60124600,jardin_maternal
60126000,jardin_maternal
60126300,jardin_maternal
60126500,jardin_maternal
60132500,jardin_maternal
60133200,jardin_maternal
60134400,jardin_maternal
60134900,jardin_maternal
60136100,jardin_maternal
60137500,jardin_maternal
60137600,jardin_maternal
60137800,jardin_maternal
60138000,jardin_maternal
60138100,jardin_maternal
60138600,jardin_maternal
60141700,jardin_maternal
60142700,jardin_maternal
60142800,jardin_maternal
60143300,jardin_maternal
60143400,jardin_maternal
60144400,jardin_maternal
60144700,jardin_maternal
60146300,jardin_maternal
60147200,jardin_maternal
60147800,jardin_maternal
60149700,jardin_maternal
60150100,jardin_maternal
60151300,jardin_maternal
60151700,jardin_maternal
60152000,jardin_maternal
60153300,jardin_maternal
60154400,jardin_maternal
60156700,jardin_maternal
60157500,jardin_maternal
60157600,jardin_maternal
60158900,jardin_maternal
60159800,jardin_maternal
60160100,jardin_maternal
60160500,jardin_maternal
60160800,jardin_maternal
60161600,jardin_maternal
60163400,jardin_maternal
60163800,jardin_maternal
60164100,jardin_maternal
60164800,jardin_maternal
60165600,jardin_maternal
60165900,jardin_maternal
60166000,jardin_maternal
60166100,jardin_maternal
60166600,jardin_maternal
60167900,jardin_maternal
60168100,jardin_maternal
60168800,jardin_maternal
60169600,jardin_maternal
60171700,jardin_maternal
60172000,jardin_maternal
60172900,jardin_maternal
60175200,jardin_maternal
60176700,jardin_maternal
60176800,jardin_maternal
60176900,jardin_maternal
60177100,jardin_maternal
60177300,jardin_maternal
60177400,jardin_maternal
60177500,jardin_maternal
60178800,jardin_maternal
60179700,jardin_maternal
60180000,jardin_maternal
60180100,jardin_maternal
60180800,jardin_maternal
60180900,jardin_maternal
60181200,jardin_maternal
60182500,jardin_maternal
60183800,jardin_maternal
60184900,jardin_maternal
60185000,jardin_maternal
60185700,jardin_maternal
60185800,jardin_maternal
60185900,jardin_maternal
60186000,jardin_maternal
60186100,jardin_maternal
60187400,jardin_maternal
60187900,jardin_maternal
60188100,jardin_maternal
60188200,jardin_maternal
60188600,jardin_maternal
60189300,jardin_maternal
60191100,jardin_maternal
60192000,jardin_maternal
60192100,jardin_maternal
60194000,jardin_maternal
60194200,jardin_maternal
60194400,jardin_maternal
60195300,jardin_maternal
60195500,jardin_maternal
60195900,jardin_maternal
60196100,jardin_maternal
60196200,jardin_maternal
60196800,jardin_maternal
60196900,jardin_maternal
60199000,jardin_maternal
60200200,jardin_maternal
60200300,jardin_maternal
60200400,jardin_maternal
60200500,jardin_maternal
60200600,jardin_maternal
60200900,jardin_maternal
60201000,jardin_maternal
60201100,jardin_maternal
60201200,jardin_maternal
60201400,jardin_maternal
60201600,jardin_maternal
60204100,jardin_maternal
60204500,jardin_maternal
60204600,jardin_maternal
60205600,jardin_maternal
60206300,jardin_maternal
60206500,jardin_maternal
60206700,jardin_maternal
60207400,jardin_maternal
60207600,jardin_maternal
60207800,jardin_maternal
60208100,jardin_maternal
60208300,jardin_maternal
60209400,jardin_maternal
60210100,jardin_maternal
60210800,jardin_maternal
60211400,jardin_maternal
60211500,jardin_maternal
60212000,jardin_maternal
60212400,jardin_maternal
60212500,jardin_maternal
60213500,jardin_maternal
60213600,jardin_maternal
60215200,jardin_maternal
60215900,jardin_maternal
60216100,jardin_maternal
60216800,jardin_maternal
60217800,jardin_maternal
60218600,jardin_maternal
60219600,jardin_maternal
60219900,jardin_maternal
60220200,jardin_maternal
60221200,jardin_maternal
60221500,jardin_maternal
60222300,jardin_maternal
60223100,jardin_maternal
60223300,jardin_maternal
60223700,jardin_maternal
60223800,jardin_maternal
60224700,jardin_maternal
60224800,jardin_maternal
60224900,jardin_maternal
60225600,jardin_maternal
60225700,jardin_maternal
60225900,jardin_maternal
60226000,jardin_maternal
60229500,jardin_maternal
60229600,jardin_maternal
60230600,jardin_maternal
60231100,jardin_maternal
60232200,jardin_maternal
60232800,jardin_maternal
60233400,jardin_maternal
60233600,jardin_maternal
60234900,jardin_maternal
60235000,jardin_maternal
60237300,jardin_maternal
60237500,jardin_maternal
60238200,jardin_maternal
60239200,jardin_maternal
60239600,jardin_maternal
60239900,jardin_maternal
60241500,jardin_maternal
60241800,jardin_maternal
60241900,jardin_maternal
60242000,jardin_maternal
60243000,jardin_maternal
60244600,jardin_maternal
60245900,jardin_maternal
60246600,jardin_maternal
60248400,jardin_maternal
60248500,jardin_maternal
60251300,jardin_maternal
60252000,jardin_maternal
60253400,jardin_maternal
60255900,jardin_maternal
60256900,jardin_maternal
60257100,jardin_maternal
60257200,jardin_maternal
60257900,jardin_maternal
60262900,jardin_maternal
60263700,jardin_maternal
60265900,jardin_maternal
60266900,jardin_maternal
60268100,jardin_maternal
60268500,jardin_maternal
60268600,jardin_maternal
60268800,jardin_maternal
60268900,jardin_maternal
60269700,jardin_maternal
60270000,jardin_maternal
60270500,jardin_maternal
60270800,jardin_maternal
60275500,jardin_maternal
60275600,jardin_maternal
60276200,jardin_maternal
60277000,jardin_maternal
60282800,jardin_maternal
60282900,jardin_maternal
60283000,jardin_maternal
60283300,jardin_maternal
60285000,jardin_maternal
60285500,jardin_maternal
60285900,jardin_maternal
60286200,jardin_maternal
60286900,jardin_maternal
60287100,jardin_maternal
60295200,jardin_maternal
60296100,jardin_maternal
60296800,jardin_maternal
