id_depto,id_nivel,cantidad
6266,primaria,4920
6266,secundaria,3860
6266,terciario,18450
6270,jardin_infante,6711
6270,jardin_maternal,10444
6270,primaria,25615
6270,secundaria,21089
6270,terciario,97004
6274,jardin_infante,16792
6274,jardin_maternal,27871
6274,primaria,64455
6274,secundaria,52426
6274,terciario,231650
6277,jardin_infante,320
6277,jardin_maternal,556
6277,primaria,1275
6277,secundaria,1107
6277,terciario,4525
6280,jardin_infante,1313
6280,jardin_maternal,2257
6280,primaria,4822
6280,secundaria,4254
6280,terciario,19464
6287,jardin_infante,281
6287,jardin_maternal,477
6287,primaria,1137
6287,secundaria,912
6287,terciario,4541
6294,jardin_infante,437
6294,jardin_maternal,775
6294,primaria,1535
6294,secundaria,1404
6294,terciario,6768
6301,jardin_infante,602
6301,jardin_maternal,1016
6301,primaria,2272
6301,secundaria,1893
6301,terciario,8932
6308,jardin_infante,98
6308,jardin_maternal,138
6308,primaria,338
6308,secundaria,304
6308,terciario,1300
6315,jardin_infante,614
6315,jardin_maternal,934
6315,primaria,2637
6315,secundaria,2375
6315,terciario,9883
6322,jardin_infante,308
6322,jardin_maternal,558
6322,primaria,1263
6322,secundaria,980
6322,terciario,4956
6329,jardin_infante,581
6329,jardin_maternal,885
6329,primaria,2054
6329,secundaria,1823
6329,terciario,8119
6336,jardin_infante,183
6336,jardin_maternal,236
6336,primaria,636
6336,secundaria,493
6336,terciario,2123
6343,jardin_infante,450
6343,jardin_maternal,645
6343,primaria,1705
6343,secundaria,1390
6343,terciario,6131
6351,jardin_infante,394
6351,jardin_maternal,710
6351,primaria,1321
6351,secundaria,1175
6351,terciario,5528
6357,jardin_infante,15895
6357,jardin_maternal,25532
6357,primaria,62565
6357,secundaria,57730
6357,terciario,294369
6364,jardin_infante,5312
6364,jardin_maternal,8825
6364,primaria,20970
6364,secundaria,15698
6364,terciario,67000
6371,jardin_infante,10861
6371,jardin_maternal,17177
6371,primaria,44539
6371,secundaria,39634
6371,terciario,203992
6385,jardin_infante,699
6385,jardin_maternal,1102
6385,primaria,2538
6385,secundaria,2039
6385,terciario,9549
6392,jardin_infante,1030
6392,jardin_maternal,1767
6392,primaria,4006
6392,secundaria,3428
6392,terciario,15036
6399,jardin_infante,323
6399,jardin_maternal,499
6399,primaria,1189
6399,secundaria,1063
6399,terciario,4866
6406,jardin_infante,317
6406,jardin_maternal,472
6406,primaria,1110
6406,secundaria,965
6406,terciario,4383
6408,jardin_infante,4599
6408,jardin_maternal,7021
6408,primaria,18866
6408,secundaria,16751
6408,terciario,84333
6410,jardin_infante,4328
6410,jardin_maternal,6379
6410,primaria,17692
6410,secundaria,16004
6410,terciario,79820
6412,jardin_infante,11227
6412,jardin_maternal,18370
6412,primaria,42316
6412,secundaria,34014
6412,terciario,154208
6413,jardin_infante,2810
6413,jardin_maternal,4733
6413,primaria,10433
6413,secundaria,8728
6413,terciario,44587
6420,jardin_infante,2940
6420,jardin_maternal,4515
6420,primaria,11364
6420,secundaria,10072
6420,terciario,42080
6427,jardin_infante,59108
6427,jardin_maternal,97926
6427,primaria,225872
6427,secundaria,181212
6427,terciario,864773
6434,jardin_infante,11148
6434,jardin_maternal,16985
6434,primaria,44506
6434,secundaria,39855
6434,terciario,207487
6441,jardin_infante,19886
6441,jardin_maternal,32189
6441,primaria,77998
6441,secundaria,67326
6441,terciario,366674
6448,jardin_infante,377
6448,jardin_maternal,524
6448,primaria,1366
6448,secundaria,1152
6448,terciario,4883
6455,jardin_infante,749
6455,jardin_maternal,1233
6455,primaria,2771
6455,secundaria,2543
6455,terciario,11336
6462,jardin_infante,486
6462,jardin_maternal,875
6462,primaria,1838
6462,secundaria,1700
6462,terciario,7283
6466,jardin_infante,180
6466,jardin_maternal,263
6466,primaria,639
6466,secundaria,570
6466,terciario,2758
6469,jardin_infante,1254
6469,jardin_maternal,2226
6469,primaria,4674
6469,secundaria,4080
6469,terciario,19130
6476,jardin_infante,456
6476,jardin_maternal,846
6476,primaria,1865
6476,secundaria,1638
6476,terciario,7652
6483,jardin_infante,1261
6483,jardin_maternal,2033
6483,primaria,4668
6483,secundaria,4035
6483,terciario,17878
6490,jardin_infante,19589
6490,jardin_maternal,31236
6490,primaria,76967
6490,secundaria,65257
6490,terciario,315856
6497,jardin_infante,3137
6497,jardin_maternal,5215
6497,primaria,12341
6497,secundaria,10388
6497,terciario,50410
6505,jardin_infante,690
6505,jardin_maternal,1245
6505,primaria,2768
6505,secundaria,2260
6505,terciario,10351
6511,jardin_infante,339
6511,jardin_maternal,522
6511,primaria,1234
6511,secundaria,995
6511,terciario,4789
6515,jardin_infante,9982
6515,jardin_maternal,15961
6515,primaria,40319
6515,secundaria,34959
